Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
1568.3599734306335	38	1.5075377	8.0030575	65.0	0.0	151.0	0.0	0.009983693	0.009983693	0.009983693	0.009983693	30049	1171911
1598.218027830124	39	1.3316582	8.138906	68.0	0.0	151.0	0.0	0.008818929	0.008818929	0.008818929	0.008818929	30049	1201960
1627.2862849235535	40	0.9849246	7.3193326	67.0	0.0	151.0	0.0	0.0065226797	0.0065226797	0.0065226797	0.0065226797	30049	1232009
1654.8313083648682	41	1.5929648	8.775833	69.0	0.0	151.0	0.0	0.010549436	0.010549436	0.010549436	0.010549436	30049	1262058
1681.1761462688446	42	1.1155779	6.8897796	55.0	0.0	151.0	0.0	0.007387933	0.007387933	0.007387933	0.007387933	30049	1292107
1707.201877117157	43	0.959799	5.775393	52.0	0.0	151.0	0.0	0.006356285	0.006356285	0.006356285	0.006356285	30049	1322156
1732.8974425792694	44	1.718593	8.640863	64.0	0.0	151.0	0.0	0.01138141	0.01138141	0.01138141	0.01138141	30049	1352205
1759.051349401474	45	1.1859297	6.7161098	57.0	0.0	151.0	0.0	0.007853839	0.007853839	0.007853839	0.007853839	30049	1382254
1785.1261615753174	46	0.71356785	5.210481	61.0	0.0	151.0	0.0	0.004725615	0.004725615	0.004725615	0.004725615	30049	1412303
1811.4269361495972	47	0.9045226	5.6369143	47.0	0.0	151.0	0.0	0.005990216	0.005990216	0.005990216	0.005990216	30049	1442352
1837.907591342926	48	0.020100502	0.28283918	4.0	0.0	151.0	0.0	0.00013311591	0.00013311591	0.00013311591	0.00013311591	30049	1472401
1863.8734891414642	49	1.0703517	7.0827894	55.0	0.0	151.0	0.0	0.0070884223	0.0070884223	0.0070884223	0.0070884223	30049	1502450
1890.2482733726501	50	0.34170854	3.4046698	37.0	0.0	151.0	0.0	0.0022629704	0.0022629704	0.0022629704	0.0022629704	30049	1532499
1916.3352663516998	51	0.28643215	4.0304575	57.0	0.0	151.0	0.0	0.0018969018	0.0018969018	0.0018969018	0.0018969018	30049	1562548
1943.09827542305	52	0.2713568	3.8183286	54.0	0.0	151.0	0.0	0.0017970648	0.0017970648	0.0017970648	0.0017970648	30049	1592597
1969.5116283893585	53	0.35678393	3.8277402	50.0	0.0	151.0	0.0	0.0023628075	0.0023628075	0.0023628075	0.0023628075	30049	1622646
2004.5177326202393	54	0.94974875	6.568349	59.0	0.0	151.0	0.0	0.0062897266	0.0062897266	0.0062897266	0.0062897266	30049	1652695
2035.324730873108	55	1.0150753	6.895834	56.0	0.0	151.0	0.0	0.0067223534	0.0067223534	0.0067223534	0.0067223534	30049	1682744
2079.8143718242645	56	1.361809	7.6637726	62.0	0.0	151.0	0.0	0.009018603	0.009018603	0.009018603	0.009018603	30049	1712793
2114.1529700756073	57	0.46231157	3.8170917	37.0	0.0	151.0	0.0	0.003061666	0.003061666	0.003061666	0.003061666	30049	1742842
2155.873498439789	58	0.79899496	6.3554506	66.0	0.0	151.0	0.0	0.0052913576	0.0052913576	0.0052913576	0.0052913576	30049	1772891
2196.4721710681915	59	2.1859295	9.264977	61.0	0.0	151.0	0.0	0.014476355	0.014476355	0.014476355	0.014476355	30049	1802940
2226.9801828861237	60	1.5427135	6.893077	45.0	0.0	151.0	0.0	0.010216646	0.010216646	0.010216646	0.010216646	30049	1832989
2253.5414192676544	61	0.8643216	6.6094713	70.0	0.0	151.0	0.0	0.005723984	0.005723984	0.005723984	0.005723984	30049	1863038
2279.225730895996	62	0.5678392	4.7122393	57.0	0.0	151.0	0.0	0.0037605246	0.0037605246	0.0037605246	0.0037605246	30049	1893087
2326.843510866165	63	1.1005025	7.7951117	69.0	0.0	151.0	0.0	0.007288096	0.007288096	0.007288096	0.007288096	30049	1923136
2355.264767408371	64	0.67336684	3.8552766	32.0	0.0	151.0	0.0	0.004459383	0.004459383	0.004459383	0.004459383	30049	1953185
2382.3159849643707	65	0.2160804	2.4838252	34.0	0.0	151.0	0.0	0.001430996	0.001430996	0.001430996	0.001430996	30049	1983234
2410.952077150345	66	0.36180905	4.1455607	57.0	0.0	151.0	0.0	0.0023960865	0.0023960865	0.0023960865	0.0023960865	30049	2013283
2440.360579967499	67	0.5879397	5.2935023	63.0	0.0	151.0	0.0	0.0038936404	0.0038936404	0.0038936404	0.0038936404	30049	2043332
2492.7035160064697	68	0.1758794	2.4048142	34.0	0.0	151.0	0.0	0.0011647642	0.0011647642	0.0011647642	0.0011647642	30049	2073381
2523.9464349746704	69	0.085427135	0.8374036	11.0	0.0	151.0	0.0	0.0005657426	0.0005657426	0.0005657426	0.0005657426	30049	2103430
2554.5991735458374	70	0.03517588	0.4949684	7.0	0.0	151.0	0.0	0.00023295285	0.00023295285	0.00023295285	0.00023295285	30049	2133479
2590.513279914856	71	0.04522613	0.5140878	7.0	0.0	151.0	0.0	0.0002995108	0.0002995108	0.0002995108	0.0002995108	30049	2163528
2625.6720690727234	72	0.015075377	0.21212934	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	9.9836936e-05	9.9836936e-05	30049	2193577
2654.3093135356903	73	0.015075377	0.21212934	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	9.9836936e-05	9.9836936e-05	30049	2223626
2689.380379676819	74	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2253675
2724.164967775345	75	0.020100502	0.28283918	4.0	0.0	151.0	0.0	0.00013311591	0.00013311591	0.00013311591	0.00013311591	30049	2283724
2751.2001905441284	76	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2313773
2782.7318596839905	77	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2343822
2824.1933138370514	78	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2373871
2861.0037417411804	79	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2403920
2886.3670711517334	80	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2433969
2917.68848323822	81	0.015075377	0.21212931	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	9.9836936e-05	9.9836936e-05	30049	2464018
2945.067002058029	82	0.1557789	1.9285884	27.0	0.0	151.0	0.0	0.0010316483	0.0010316483	0.0010316483	0.0010316483	30049	2494067
2971.6657207012177	83	0.03517588	0.38012013	5.0	0.0	151.0	0.0	0.00023295285	0.00023295285	0.00023295285	0.00023295285	30049	2524116
3006.22474193573	84	0.31658292	2.495277	25.0	0.0	151.0	0.0	0.0020965757	0.0020965757	0.0020965757	0.0020965757	30049	2554165
3042.1787140369415	85	0.37185928	3.7028322	40.0	0.0	151.0	0.0	0.0024626444	0.0024626444	0.0024626444	0.0024626444	30049	2584214
3075.688714981079	86	0.5527638	4.136609	44.0	0.0	151.0	0.0	0.0036606875	0.0036606875	0.0036606875	0.0036606875	30049	2614263
3106.485451936722	87	0.5728643	3.2890053	30.0	0.0	151.0	0.0	0.0037938035	0.0037938035	0.0037938035	0.0037938035	30049	2644312
3133.0861797332764	88	0.5427136	3.8341146	39.0	0.0	151.0	0.0	0.0035941296	0.0035941296	0.0035941296	0.0035941296	30049	2674361
3162.8333320617676	89	0.36683416	2.9707296	30.0	0.0	151.0	0.0	0.0024293654	0.0024293654	0.0024293654	0.0024293654	30049	2704410
3200.117593050003	90	0.6834171	3.8652265	29.0	0.0	151.0	0.0	0.004525941	0.004525941	0.004525941	0.004525941	30049	2734459
3235.0748856067657	91	0.19095477	1.5703658	16.0	0.0	151.0	0.0	0.0012646011	0.0012646011	0.0012646011	0.0012646011	30049	2764508
3284.1372005939484	92	0.3316583	4.391696	62.0	0.0	151.0	0.0	0.0021964125	0.0021964125	0.0021964125	0.0021964125	30049	2794557
3320.5235555171967	93	0.16080402	2.0555778	29.0	0.0	151.0	0.0	0.0010649273	0.0010649273	0.0010649273	0.0010649273	30049	2824606
3349.9674758911133	94	0.015075377	0.21212934	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	9.9836936e-05	9.9836936e-05	30049	2854655
3385.234797477722	95	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2884704
3418.3155612945557	96	0.22613065	3.0430944	43.0	0.0	151.0	0.0	0.001497554	0.001497554	0.001497554	0.001497554	30049	2914753
3445.053020954132	97	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2944802
3473.0271332263947	98	0.18090452	1.5162231	16.0	0.0	151.0	0.0	0.0011980432	0.0011980432	0.0011980432	0.0011980432	30049	2974851
3501.253817796707	99	0.3316583	2.7105882	26.0	0.0	151.0	0.0	0.0021964125	0.0021964125	0.0021964125	0.0021964125	30049	3004900
