Wall time,Step,Value
1603086725.7317052,10001,-247.0569305419922
1603086889.588386,20001,-210.45037841796875
1603087116.6072338,30001,-171.0141143798828
1603087367.7743146,40001,-163.16732788085938
1603087614.0564663,50001,-150.279296875
1603087850.248958,60001,-136.8856964111328
1603088146.6515884,70001,-119.60054779052734
1603088433.0762188,80001,-101.48328399658203
1603088689.8644068,90001,-71.56358337402344
1603088978.8666332,100001,-56.71553421020508
1603089201.8938847,110001,-28.995729446411133
1603089404.5559976,120001,-3.0681934356689453
1603089602.454392,130001,21.113521575927734
1603089797.1818638,140001,31.167827606201172
1603090089.000928,150001,39.927940368652344
1603090358.8766053,160001,35.624996185302734
1603090606.8069036,170001,39.55705642700195
1603091102.2257357,180001,38.17255783081055
1603091355.9057722,190001,33.718318939208984
1603091596.1595168,200001,47.02018737792969
1603091807.763408,210001,60.11250305175781
1603092046.831749,220001,74.01828002929688
1603093805.090539,230001,88.07459259033203
1603093892.2080443,240001,99.55577850341797
1603094020.5303316,250001,94.11214447021484
1603094138.7803135,260001,92.02394104003906
1603094251.785413,270001,91.21688079833984
1603094337.8764696,280001,99.22584533691406
1603094425.6673536,290001,113.85710906982422
1603094532.6288972,300001,112.04928588867188
1603094638.7296293,310001,107.07572174072266
1603094742.6401825,320001,110.71756744384766
1603094818.9046702,330001,99.17505645751953
1603094905.3953533,340001,115.54879760742188
1603094984.269163,350001,119.27759552001953
1603095047.478486,360001,122.24600219726562
1603095107.775639,370001,123.11344909667969
1603095166.4633005,380001,145.1511688232422
1603095235.2350314,390001,145.13751220703125
1603095296.1522944,400001,146.53892517089844
1603095350.5789797,410001,155.78001403808594
1603095401.3026657,420001,122.44200134277344
1603095452.9558454,430001,102.1527328491211
1603095519.4023407,440001,115.17656707763672
1603095571.1411643,450001,102.68435668945312
1603095633.8099864,460001,77.48629760742188
1603095703.2638855,470001,101.29456329345703
1603095764.3185232,480001,133.1277313232422
1603095819.1264644,490001,106.26313018798828
