Wall time,Step,Value
1603080013.6145167,10001,-224.68154907226562
1603080193.7041945,20001,-204.56924438476562
1603080438.1536682,30001,-181.714111328125
1603080676.4081848,40001,-162.83058166503906
1603080922.7452073,50001,-151.18206787109375
1603081130.8962655,60001,-138.4611053466797
1603081202.1892776,70001,-112.41024780273438
1603081280.1261194,80001,-87.86905670166016
1603081369.0156786,90001,-68.55210876464844
1603081465.5431032,100001,-42.05427551269531
1603081540.4226327,110001,-8.042642593383789
1603081625.2946787,120001,6.671700954437256
1603081705.5170422,130001,34.88694763183594
1603081787.0070817,140001,41.85161209106445
1603081862.2292204,150001,46.08551788330078
1603081971.1945996,160001,43.975982666015625
1603082092.1509528,170001,39.41854476928711
1603082185.3794172,180001,48.0936164855957
1603082278.0626018,190001,48.00300979614258
1603082378.9100192,200001,57.952064514160156
1603082485.7974625,210001,61.22467041015625
1603082588.612326,220001,82.20133972167969
1603082693.8496964,230001,86.35924530029297
1603082802.8227782,240001,95.44764709472656
1603082896.3354414,250001,94.95746612548828
1603082992.8671193,260001,105.25343322753906
1603083077.5444503,270001,112.90190887451172
1603083163.8324146,280001,123.4908218383789
1603083241.4828382,290001,120.56393432617188
1603083316.692202,300001,92.79960632324219
1603083389.5001938,310001,63.834571838378906
1603083459.9816258,320001,39.72964859008789
1603083535.241745,330001,10.891242027282715
1603083604.1509416,340001,-14.877927780151367
1603083663.3908088,350001,-63.19977569580078
1603083715.2778032,360001,-101.54354858398438
1603083769.4038534,370001,-68.9244155883789
1603083825.806955,380001,-71.44908905029297
1603083885.7958057,390001,-94.32268524169922
1603083944.7347686,400001,-98.86788177490234
1603084006.326887,410001,-73.08061218261719
1603084074.6226172,420001,-62.81259536743164
1603084172.2642732,430001,-70.06510162353516
1603084273.0910192,440001,-84.29368591308594
1603084371.566434,450001,-73.31078338623047
1603084461.0194886,460001,-67.22624206542969
1603084557.463494,470001,-21.783842086791992
1603084656.405161,480001,-17.56023597717285
1603084760.7422845,490001,3.6508371829986572
